index,date,crypto_name,direction,signal_type,status,price_buy,stop_price,qtd
76540,2022-10-03 01:30:05+00:00,BALUSDT,LONG,NEW,BUY,5.08,4.93,56.0
76551,2022-10-03 01:30:46+00:00,KAVAUSDT,LONG,NEW,,,,
76550,2022-10-03 01:30:45+00:00,ETCUSDT,LONG,NEW,,,,
76549,2022-10-03 01:30:45+00:00,WAVESUSDT,LONG,NEW,BUY,3.73,3.62,76.0
76562,2022-10-03 01:30:52+00:00,YFIUSDT,LONG,NEW,BUY,7968.0,7728.0,0.036
76571,2022-10-03 01:35:47+00:00,ONEUSDT,OPEN_ORDER,CLOSE,,,,
76582,2022-10-03 01:35:56+00:00,SRMUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76581,2022-10-03 01:35:55+00:00,GALAUSDT,OPEN_ORDER,CLOSE,,,,
76580,2022-10-03 01:35:55+00:00,BALUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76585,2022-10-03 01:35:58+00:00,AKROUSDT,LONG,NEW,,,,
76583,2022-10-03 01:35:57+00:00,FTTUSDT,OPEN_ORDER,CLOSE,,,,
76588,2022-10-03 01:40:01+00:00,ETCUSDT,OPEN_ORDER,CLOSE,,,,
76590,2022-10-03 01:41:03+00:00,ZECUSDT,LONG,NEW,BUY,54.3,52.67,5.24
76591,2022-10-03 01:43:20+00:00,ZECUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76595,2022-10-03 01:45:09+00:00,SUSHIUSDT,LONG,NEW,,,,
76593,2022-10-03 01:45:06+00:00,TRXUSDT,LONG,NEW,BUY,0.0613,0.0595,4645.0
76597,2022-10-03 01:45:14+00:00,SKLUSDT,LONG,NEW,BUY,0.038,0.0369,7493.0
76601,2022-10-03 01:45:26+00:00,EOSUSDT,LONG,NEW,,,,
76600,2022-10-03 01:45:24+00:00,AXSUSDT,LONG,NEW,,,,
76599,2022-10-03 01:45:23+00:00,EOSUSDT,LONG,NEW,BUY,1.18,1.14,241.0
76609,2022-10-03 01:45:47+00:00,GTCUSDT,LONG,NEW,,,,
76608,2022-10-03 01:45:46+00:00,STORJUSDT,LONG,NEW,,,,
76607,2022-10-03 01:45:45+00:00,ONTUSDT,LONG,NEW,BUY,0.2176,0.2111,1308.0
